 Transform 坐标 (x, z) |
| :--- | :--- | :--- |
(-1207.46, 1819.56)
(-641.33, 1693.74)
(-1383.91, 1494.17)
(326.11, 1244.79)
(729.75, 691.72)
(427.28, 488.03)
(1597.12, 334.26)
(2761.65, 363.84)
(4041.74, 827.54)
(1254.14, -486.87)
(534.80, -912.26)
(46.75, -1043.52)
(340.37, -2821.27)
(1936.41, -2906.43)
(3261.47, -2357.07)
(-1071.94, 1241.09)
(-238.52, 1316.87)
(29.82, 1198.53)
(274.71, 1004.45)
(5447.51, 1847.30)
(689.43, 193.43)
(2433.65, -88.64)
(3831.00, 452.90)
(5157.64, 976.37)
(1254.14, -720.15)
(281.02, -1358.54)
(-275.40, -1652.49)
(-401.45, -3257.71)
(233.28, -2924.92)
(1578.37, -3147.20)
(-619.47, 1847.30)
(-776.52, 1421.91)
(-862.39, 1876.88)
(-238.52, 1752.97)
(611.55, 452.90)
(1909.14, 9.31)
(-660.03, 2137.57)
(1341.56, 1695.60)
(1112.23, 802.96)
(1341.56, 429.65)
(0.00, 0.00)
(0.00, -1024.91)
(5151.40, 1015.60)
